"Willow_1998_1574"	"Willow_1998_1547"	"Willow_1998_1561"	"Willow_1998_1529"	"Willow_1998_1530"	"Willow_1998_1548"	"Willow_1998_1538"	"Willow_1998_1544"	"Willow_1998_1557"	"Willow_1998_1558"	"Willow_1998_1542"	"Willow_1998_1540"	"Willow_1998_1534"	"Willow_1998_1573"	"Willow_1998_1565"	"Willow_1998_1552"	"Willow_1998_1563"	"Row_Ave"	"Willow_1998_1550"	"Willow_1998_1575"	"Willow_1998_1533"	"Willow_1998_1570"	"Willow_1998_1566"	"Willow_1998_1532"	"Willow_1998_1551"	"Willow_1998_1546"	"Willow_1998_1555"	"Willow_1998_1541"	"Willow_1998_1562"	"Willow_1998_1539"	"Willow_1998_1553"	"Willow_1998_1556"	"Willow_1998_1535"	"Willow_1998_1554"	"Willow_1998_1576"	"Willow_1998_1569"
"Lv_New"	164	164	164	164	164	164	164	164	164	164	164	164	164	164	164	164	164	164.636363636364	164	168	164	168	164	164	164	164	164	164	168	164	164	168	168	164	164	164
"Fl_Bud_F"	174	174	174	171	174	177	174	174	177	171	174	168	171	174	168	174	174	172.977272727273	168	177	171	174	168	171	171	177	174	171	171	177	174	177	177	174	174	174
"Lv_Mat"	174	177	171	174	180	171	177	174	177	177	174	177	174	174	177	180	174	175.772727272727	177	174	174	174	177	174	177	180	177	180	177	177	174	177	177	180	174	174
"Fl_Bbk_F"	180	177	180	174	180	183	180	180	177	177	183	174	174	177	180	177	174	178.977272727273	180	183	174	183	180	183	180	180	180	180	177	183	177	183	183	180	180	183
"Fl_Bud_L"	180	180	180	180	174	180	180	180	180	180	180	180	180	180	180	174	177	179.863636363636	180	183	180	183	180	180	183	180	180	180	180	183	180	180	183	177	180	183
"Fl_Mat_F"	183	180	186	177	180	186	183	189	183	180	186	180	183	180	183	180	180	182.795454545455	180	186	183	186	183	183	183	183	183	183	180	186	180	183	186	183	183	186
"Fl_Bbk_L"	183	180	186	180	183	183	NA	NA	183	180	189	183	183	183	183	177	180	182.925	183	186	186	186	183	NA	NA	183	183	183	186	186	180	186	183	183	183	183
"Fl_Mat_L"	186	186	189	183	186	NA	186	189	186	182	189	189	186	186	186	180	186	185.761904761905	186	189	186	186	186	186	186	186	183	186	186	186	183	186	186	186	186	186
"Fl_Sen_F"	186	186	189	183	186	192	186	189	186	186	189	189	189	186	186	186	189	187.159090909091	186	192	183	189	186	186	186	186	186	186	183	192	183	186	189	189	186	192
"Fl_Sen_L"	192	189	195	189	192	195	192	201	189	186	201	201	189	195	195	186	189	191.651162790698	189	201	189	192	192	192	192	189	189	189	195	192	186	189	189	NA	192	195
"Cap_F"	195	192	195	189	195	201	195	201	189	201	201	195	192	195	195	201	189	194.318181818182	192	201	195	201	189	195	192	192	195	189	192	201	189	192	192	195	195	192
"Cap_L"	207	201	207	192	201	221	201	207	201	201	207	201	201	207	207	201	192	201.568181818182	195	221	201	207	195	201	207	192	201	195	207	201	189	201	207	201	201	201
"Lv_Sen"	221	221	221	207	221	221	221	221	221	207	221	207	207	207	207	201	201	212.813953488372	207	221	201	221	207	207	207	221	207	NA	207	221	201	221	221	207	201	207
"Sd_Disp"	NA	NA	NA	221	221	221	NA	NA	NA	221	NA	221	NA	221	NA	NA	221	220.125	NA	NA	NA	NA	NA	NA	221	NA	NA	221	221	NA	207	NA	NA	NA	NA	NA
