"X1986"	"X1987"	"X1988"	"X1989"	"X1990"	"X1991"	"X1992"	"X1993"	"X1994"	"X1995"	"X1996"	"X1997"	"X1998"	"X1999"	"X2000"	"X2001"	"X2002"	"X2003"	"X2004"	"X2005"	"X2006"	"X2007"
"1"	-29.3	-21	NA	NA	-24.6	-13.6	-32.46	-29.05	-20.96	NA	NA	-29.06	-24.06	-24.07	-14.69	-28.54	-21.28	-25.37	-27.91	-20.72	-30.46	-24.47
"2"	-29.6	-25.7	NA	NA	-20	-22.2	-33.76	-28.99	-27.26	NA	NA	-24.09	-26.68	-26.84	-15.33	-27.09	-26.67	-28.14	-27.65	-23.2	-28.04	-24.29
"3"	-29.5	-20.6	NA	NA	-18.8	-23.6	-35.44	-26.78	-29.24	NA	NA	-28.44	-25.85	-26.32	-20.82	-27.4	-26.12	-30.07	-28.55	-25.64	-31.48	-19.79
"4"	-32	-25.4	NA	NA	-18.2	-25.5	-35.74	-29.21	-26.79	NA	NA	-23.26	-25.38	-24.56	-27.36	-19.74	-32.49	-29.85	-28.8	-28.07	-26.18	-25.57
"5"	-29.4	-25.2	NA	NA	-19.3	-24.6	-30.21	-31.8	-29.54	NA	NA	-22.88	-26.2	-30.36	-30.79	-21.2	-32.48	-29.73	-30.27	-31.85	-25.04	-30.7
"6"	-26.3	-28	NA	NA	-19.7	-28.7	-31.62	-31.7	-27.56	NA	NA	-25.03	-26.39	-24.17	-32.1	-21.63	-30.78	-32.56	-29.35	-30.31	-27.78	-32.75
"7"	-25.2	-28.5	NA	NA	-19.7	-30.4	-32.15	-32.72	-23.56	NA	NA	-35.18	-21.96	-23.91	-31.28	-20.03	-31.77	-29.3	-28.45	-28.55	-29.21	-31.73
"8"	-30.7	-32	NA	NA	-18	-29.8	-33.15	-33.98	-16.18	NA	NA	-27.88	-21.5	-22.46	-31.38	-22.43	-30.74	-24.55	-29.48	-29.45	-26.41	-27.91
"9"	-34.3	-32.1	NA	NA	-25.8	-30.6	-35.1	-34.7	-20.18	NA	NA	-30.32	-23.13	-22.04	-29.23	-25.21	-26.49	-20.82	-30.73	-30.94	-24.87	-30.44
"10"	-34.7	-28.9	NA	NA	-28.2	-31	-34.79	-35.13	-26.08	NA	NA	-35.57	-22.17	-25.72	-29.5	-28.18	-26.9	-23.24	-26.73	-30.71	-26.73	-31.55
"11"	-32.9	-28.7	NA	NA	-29.2	-31.4	-36.38	-35.72	-28.1	NA	NA	-34.56	-23.53	-31.52	-28.44	-29.39	-24.21	-23.85	-21.55	-29.9	-30.84	-27.5
"12"	-29	-21.1	NA	NA	-31.2	-30.6	-34.61	-36.4	-23.29	NA	NA	-34.15	-25.71	-32.08	-28.78	-30.37	-23.65	-22.89	-24.4	-32.25	-28.74	-19.11
"13"	-30.3	-28.8	NA	NA	-32.2	-31.8	-31.73	-34.51	-23.02	NA	NA	-38.27	-25.22	-31.39	-25.44	-32.17	-27.11	-18.5	-26.32	-30.4	-28.61	-14.21
"14"	-32.2	-31.5	NA	NA	-30.7	-35.1	-34.66	-30.28	-26.31	NA	NA	-35.08	-26.51	-30.19	-32.34	-27.03	-30.56	-23.02	-20.5	-30.82	-32.12	-20.16
"15"	-31.8	-30.2	NA	NA	-29.8	-36.7	-37.07	-30.53	-25.98	NA	NA	-38.1	-28.47	-31.05	-35.52	-28.08	-34.42	-25.46	-18.4	-30.25	-33.28	-24.53
"16"	-30.7	-28.2	NA	NA	-32.4	-35.5	-37.73	-30.02	-23.61	NA	NA	-38.54	-32	-31.53	-34.59	-30.14	-33.46	-24.62	-23.19	-28.36	-29.94	-24.52
"17"	-33.6	-33.6	NA	NA	-32.7	-36.3	-36.34	-29.98	-19.28	NA	NA	-36.91	-29.52	-31.56	-28.8	-31.14	-32.98	-24.99	-22.75	-28.29	-27.62	-25.16
"18"	-35.7	-37	NA	NA	-30.3	-36.7	-31.21	-31.61	-20.13	NA	NA	-38.57	-29.15	-32	-29.86	-35.32	-31.63	-25.31	-23.7	-30.66	-27.62	-27.3
"19"	-31.3	-36.6	NA	NA	-29.8	-33.4	-27.63	-31.25	-25.15	NA	NA	-38.05	-30.64	-31.74	-35.33	-36.45	-30.47	-26.24	-27.28	-30.35	-26.06	-25.79
"20"	-31.7	-35.6	NA	NA	-32.9	-36.6	-26.48	-27.85	-26.44	NA	NA	-34.17	-31.99	-30.29	-37.2	-36.73	-33.39	-27.74	-29.64	-31.88	-32.93	-26.14
"21"	-34.2	-32.6	NA	NA	-34.1	-36.7	-30.38	-20.33	-29.12	NA	NA	-30.33	-28	-31.68	-35.15	-39.35	-28.11	-18.79	-29.06	-31.15	-33.61	-24.38
"22"	-35.5	-30.3	NA	NA	-34.7	-33.6	-31.18	-30.16	-26.85	NA	NA	-35.23	-31.14	-29.12	-35.74	-33.87	-29.7	-8.52	-27.71	-30.43	-32.08	-22.65
"23"	-34.9	-33.4	NA	NA	-35.5	-28.3	-32.36	-36.9	-24.25	NA	NA	-39.41	-33	-30.76	-34.91	-31.45	-29.82	-19.8	-28.15	-31.26	-28.37	-23.96
"24"	-36.7	-31.7	NA	NA	-34.2	-21.5	-33.77	-33.73	-23.08	NA	NA	-38.07	-32.11	-30.37	-31.49	-32.65	-30.68	-23.8	-29.06	-28.37	-26	-24.52
"25"	-37.4	-28.1	NA	NA	-33.8	-28.5	-31.8	-32.96	-21.93	NA	NA	-33.4	-32.27	-31.5	-32.04	-31.94	-28.61	-24.78	-29.36	-28.41	-24.5	-28.08
"26"	-38.2	-22.5	NA	NA	-32.7	-31.2	-32.25	-28.94	-23.75	NA	NA	-28.18	-33.8	-32.63	-35.32	-34.53	-29.11	-27.04	-26.64	-27.77	-21.77	-28.98
"27"	-39.2	-21.5	NA	NA	-32.7	-31.7	-32.52	-26.57	-24.6	NA	NA	-33.13	-31.47	-33.18	-37.7	-30.45	-30.28	-28.13	-24.88	-28.57	-27.16	-25.06
"28"	-34.8	-14.3	NA	NA	-31.9	-32.3	-32.58	-26.3	-28.58	NA	NA	-33.35	-25.36	-32.05	-37.95	-30.43	-32.86	-29.59	-20.16	-28.35	-32.27	-27.9
"29"	-30.7	-22.4	NA	NA	-29.9	-30.4	-31.85	-27.11	-30.94	NA	NA	-32	-19.64	-34.04	-39.39	-29.17	-33.78	-29.7	-23.03	-24.82	-33.79	-29.29
"30"	-25.5	-25.8	NA	NA	-30.3	-26.9	-34.6	-29.67	-31.32	NA	NA	-33.82	-19.79	-35.63	-38.5	-31.2	-36.03	-26.82	-27.61	-22.97	-33.05	-28.74
"31"	-23.6	-26.5	NA	NA	-32.5	-29.1	-35.19	-30.29	-30.35	NA	NA	-32.65	-27.78	-35.46	-34.53	-32.58	-35.98	-22.07	-28.71	-21.19	-34.65	-28.54
"32"	-18.2	-31.7	NA	NA	-34.6	-29.2	-38.19	-30.53	-23.53	NA	NA	-34.76	-29.11	-37.35	-33.99	-33.95	-36.04	-23.68	-30.93	-17.05	-31.94	-22.65
"33"	-25.6	-37	NA	NA	-35.6	-27.8	-37.63	-31.1	-14.34	NA	NA	-34.96	-28.68	-35.43	-20.39	-35.2	-38.57	-27.55	-34.75	-26.15	-32.31	-22.92
"34"	-28.4	-38.4	NA	NA	-36.9	-28	-34.48	-30.16	-13.99	NA	NA	-34.63	-31.83	-34.95	-21.69	-29.38	-39.98	-29.16	-35.08	-31.18	-33.86	-17.8
"35"	-27.3	-35.4	NA	NA	-36.3	-30.2	-37.41	-28.73	-19.76	NA	NA	-35.5	-32.74	-31.51	-25.82	-29.8	-38.69	-31.65	-34.81	-28.72	-34.99	-21.94
"36"	-23.9	-37.4	NA	NA	-37.5	-31.2	-35.57	-23.83	-18.12	NA	NA	-35.41	-31.57	-33.71	-32.12	-28.57	-37.55	-32.98	-33.59	-24.58	-30.4	-25.01
"37"	-27.5	-36.8	NA	NA	-38.1	-31.8	-36.35	-20.1	-18.4	NA	NA	-33.89	-31.79	-33.74	-36.32	-28.55	-35.18	-32.44	-32.66	-27.07	-31.93	-28.62
"38"	-30.6	-40.3	NA	NA	-38.2	-32.6	-37.07	-23.88	-22.32	NA	NA	-36.8	-35.45	-33.1	-33.68	-33.06	-33.17	-26.12	-27.84	-31.4	-33.8	-24.46
"39"	-32.2	-38.5	NA	NA	-38.7	-32.6	-32.88	-25.73	-23.29	NA	NA	-35.69	-33.65	-32.62	-35	-37.53	-36.81	-31.7	-23.93	-30.78	-35.69	-27.79
"40"	-32.5	-35.5	NA	NA	-35.4	-30.6	-29.91	-30.56	-27.82	NA	NA	-34.17	-31.48	-26.63	-33.42	-38.25	-34.31	-30.21	-26.33	-30.56	-35.64	-26.03
"41"	-29.1	-35.4	NA	NA	-29.5	-27.6	-30.27	-32.92	-29.8	NA	NA	-36.69	-32.73	-23.95	-32.06	-38.33	-35.03	-28.05	-23.65	-30.27	-34.9	-28.26
"42"	-25.2	-35.8	NA	NA	-30.2	-26.4	-36.85	-32.77	-26.77	NA	NA	-41.05	-34.17	-27.27	-31.39	-40.52	-35.15	-27.87	-24.4	-25.89	-35.93	-26.22
"43"	-27.5	-36.9	NA	NA	-29.7	-25.7	-32.28	-24.25	-29.55	NA	NA	-39.22	-35.03	-29.48	-32.75	-40.28	-36.98	-25.49	-24.64	-26.29	-35.01	-23.89
"44"	-27.1	-36.4	NA	NA	-31.8	-30.8	-28.9	-20.37	-27.17	NA	NA	-37.23	-33.04	-31.81	-31.37	-39.28	-36.32	-27.44	-30.16	-25.33	-32.17	-24.82
"45"	-31	-38.5	NA	NA	-34.5	-31.5	-33.87	-22.57	-27.93	NA	NA	-37.03	-29.67	-34.07	-31.19	-34.61	-37.97	-31.66	-31.21	-21.48	-31.75	-27.16
"46"	-29.9	-37	NA	NA	-32.1	-29.3	-28.7	-26	-31.79	NA	NA	-36.01	-31.35	-32.74	-31.46	-29.42	-34.66	-33.9	-30.82	-17.52	-32.87	-26.91
"47"	-30.6	-33.9	NA	NA	-28.5	-20.6	-29.19	-28.4	-30.93	NA	NA	-35.74	-33.45	-31.97	-32.59	-24.83	-33.43	-33.11	-31.55	-22.9	-27.25	-25.13
"48"	-28.9	-35.5	NA	NA	-27.8	-20.8	-28.67	-30.58	-30.48	NA	NA	-37.79	-34.11	-34.8	-32.72	-29.61	-36.05	-31.84	-30.37	-27.79	-31.28	-27.1
"49"	-26.8	-40.2	NA	NA	-28	-17.3	-27.53	-27.82	-31.42	NA	NA	-34.89	-32.44	-37.66	-33.73	-34.78	-36.31	-26.78	-28.9	-28.89	-34.92	-26.69
"50"	-22.2	-41.2	NA	NA	-28.2	-24.5	-29.39	-26.13	-32.73	NA	NA	-21.56	-30.92	-36.4	-31.64	-35.06	-38.35	-30.12	-30.72	-31.15	-34.56	-27.26
"51"	-18.8	-38.7	NA	NA	-30.7	-25.4	-29.54	-29.47	-31.26	NA	NA	-21.49	-28.54	-36.08	-26.12	-33.44	-39.89	-28.17	-30.61	-19.04	-34	-26.35
